Genus	Basepaws_MissYvonne	Basepaws_WGS1	Basepaws_WGS2
CandidatusPhycorickettsia	41	35	59
Ehrlichia	863	426	2015
Wolbachia	712	447	1322
Anaplasma	132	82	227
Neorickettsia	70	47	688
CandidatusMidichloria	47	24	260
CandidatusFokinia	40	27	65
CandidatusDeianiraea	70	48	304
Caulobacter	755	1722	18991
Brevundimonas	658	753	22078
Phenylobacterium	134	294	3250
Asticcacaulis	77	82	2610
CandidatusPelagibacter	657	428	1806
CandidatusNesciobacter	111	42	130
CandidatusCytomitobacter	108	88	442
CandidatusParacaedibacter	129	86	286
CandidatusNucleicultrix	93	77	253
Phreatobacter	238	237	10398
Micavibrio	115	26	1674
Polymorphum	83	66	3688
CandidatusPuniceispirillum	62	50	851
Emcibacter	143	108	1324
Magnetococcus	106	58	1428
Parvularcula	46	25	906
Campylobacter	6680	4824	86845
Arcobacter	5225	3268	15422
Halarcobacter	272	189	621
Aliiarcobacter	215	145	443
Sulfurospirillum	791	492	4548
Helicobacter	4753	4072	12654
Sulfurimonas	1895	1286	4464
Sulfuricurvum	55	20	197
Wolinella	43	9	1596
Nitratifractor	65	42	2205
Nautilia	315	222	1051
Cetia	118	95	469
Caminibacter	97	43	1489
Sulfurovum	81	52	1346
Nitratiruptor	56	46	881
Myxococcus	855	559	15955
Corallococcus	293	166	7589
Archangium	364	206	2375
Cystobacter	295	165	3816
Melittangium	201	160	2042
Stigmatella	156	113	2006
Anaeromyxobacter	273	231	4986
Vulgatibacter	74	39	1670
Sorangium	1011	602	10088
Chondromyces	389	258	2068
Pajaroellobacter	56	28	319
Minicystis	213	146	1804
Sandaracinus	205	114	1973
Labilithrix	138	116	1276
Haliangium	177	97	2623
Desulfovibrio	1481	798	52225
Pseudodesulfovibrio	411	222	9202
Lawsonia	115	68	434
Desulfocurvibacter	62	26	1821
Desulfomicrobium	432	84	2135141
Desulfohalobium	31	14	919
Desulfosarcina	687	354	8574
Desulfobacter	283	150	1445
Desulfobacula	254	179	1017
Desulfatibacillum	223	130	1261
Desulfobacterium	188	120	2807
Desulfococcus	141	94	4368
Desulfobulbus	301	64	98260
Desulfurivibrio	125	61	6297
Desulfocapsa	120	69	1024
Desulfotalea	105	54	1784
Geobacter	1485	828	22376
Geoalkalibacter	101	62	1624
Pelobacter	240	134	8389
Desulfuromonas	166	105	6512
Syntrophobacter	121	47	2328
Desulfoglaeba	112	90	1254
Desulfomonile	105	48	620
Syntrophus	67	41	697
Desulfobacca	34	42	603
Bradymonas	140	83	4768
Hippea	88	62	460
Desulfurella	88	73	871
Desulfarculus	57	23	4380
Silvanigrella	356	217	316
Bdellovibrio	493	325	3148
Halobacteriovorax	344	180	708
Bacteriovorax	140	73	532
Acidithiobacillus	265	149	12578
Mariprofundus	101	61	592
Hydrogenophilus	27	26	3427
Porphyromonas	61356	359	2025521
Petrimonas	147	62	10877
Fermentimonas	143	89	4416
Tannerella	11891	194	3808081
Parabacteroides	409	157	26541
Bacteroides	6751	2199	308607
Prevotella	2634	875	232656
Paraprevotella	174	71	6529
Alloprevotella	90	46	5370
Alistipes	605	260	22363
Mucinivorans	62	43	5286
Odoribacter	241	90	6635
Butyricimonas	223	107	6836
Muribaculum	269	116	15260
CandidatusAzobacteroides	220	157	1530
Paludibacter	205	141	12140
Proteiniphilum	154	58	6128
Barnesiella	112	47	9073
Draconibacterium	218	118	6718
Labilibaculum	430	221	3532
Alkalitalea	248	115	3161
Salinivirga	186	113	1229
Capnocytophaga	16228	1494	10126316
Chryseobacterium	10853	6428	349453
Flavobacterium	8266	4720	71195
Polaribacter	3585	2208	15095
Elizabethkingia	2280	1414	38855
Tenacibaculum	2052	1220	12997
Nonlabens	1973	502	12848
Formosa	1597	1073	9708
Aquimarina	1261	802	7069
Cellulophaga	1225	838	7010
Myroides	1195	708	11524
Gramella	1093	655	8516
Maribacter	1077	707	9471
Algibacter	1039	620	5642
Winogradskyella	1011	603	6666
Lacinutrix	949	632	5926
Dokdonia	758	463	7997
Kordia	677	400	5315
Empedobacter	676	505	3450
Salegentibacter	611	325	4212
Olleya	531	300	1755
Riemerella	490	296	44945
Aequorivita	423	224	6357
Arenibacter	395	196	2071
Ornithobacterium	378	228	11974
Antarcticibacterium	367	206	3848
Flavivirga	366	184	1116
Psychroflexus	336	231	2945
Apibacter	323	257	2739
Mariniflexile	323	168	2386
Urechidicola	322	203	2140
Lutibacter	317	200	2884
Seonamhaeicola	286	145	2482
Cloacibacterium	281	175	22211
Psychroserpens	278	151	1091
Muricauda	267	141	3512
Tamlana	263	158	1450
Zunongwangia	255	101	2611
Wenyingzhuangia	216	145	1396
Oceanihabitans	214	93	648
Euzebyella	210	150	3077
Gillisia	208	110	1784
Croceibacter	208	119	2207
Changchengzhania	204	127	1253
Siansivirga	203	131	1366
Sediminicola	187	103	1127
Marinirhabdus	167	104	1041
Flagellimonas	154	81	1164
Muriicola	143	79	1393
Bergeyella	143	54	18847
Zobellia	138	101	1649
Aureitalea	116	92	1005
Weeksella	99	75	1341
Robiginitalea	61	49	2005
Gilvibacter	39	28	1827
Blattabacterium	773	477	4504
Fluviicola	336	203	1662
CandidatusSulcia	177	113	509
Owenweeksia	157	87	2397
Ichthyobacterium	141	79	1489
Spirosoma	2129	1287	11394
Rhodocytophaga	492	309	2335
Dyadobacter	471	278	5108
Runella	459	324	2605
Fibrella	291	171	2531
Arcticibacterium	238	122	1106
Cytophaga	127	85	1565
Leadbetterella	117	51	1600
Allopseudarcicella	93	61	1320
Fibrisoma	17	12	6
Hymenobacter	1482	893	19611
Pontibacter	774	438	8746
Rufibacter	396	230	4750
Nibribacter	119	65	1603
Cyclobacterium	595	375	3766
Echinicola	570	375	8429
Algoriphagus	420	222	1484
Aquiflexum	236	166	1866
Belliella	214	128	1413
Flammeovirga	915	524	3003
Fabibacter	366	270	1074
Marivirga	355	206	1815
Bernardetia	554	360	2062
Chryseolinea	151	83	2360
CandidatusCardinium	153	88	1125
CandidatusAmoebophilus	77	35	6111
Persicobacter	170	110	698
Mucilaginibacter	2567	1557	16240
Pedobacter	2430	1444	13364
Sphingobacterium	2160	1355	24370
Pseudopedobacter	334	220	1287
Solitalea	261	159	2829
Olivibacter	111	55	2277
Anseongella	68	41	1486
Chitinophaga	1999	1104	13111
Arachidicoccus	918	569	3996
Flavisolibacter	365	208	3503
Niastella	315	145	983
Niabella	314	177	3460
Pseudobacter	248	187	914
Panacibacter	236	164	2279
Filimonas	172	113	1312
Paraflavitalea	156	118	1585
Flavihumibacter	56	46	1625
Salinibacter	141	93	1215
Rhodothermus	96	67	3896
Saprospira	177	90	464
Haliscomenobacter	162	86	2858
Chlorobium	324	166	6136
Pelodictyon	266	154	701
Chlorobaculum	167	84	4981
Prosthecochloris	153	92	3558
Chloroherpeton	131	70	978
Ignavibacterium	243	155	521
Melioribacter	129	75	262
CandidatusCyclonatronum	120	52	1350
Gemmatimonas	247	122	2812
Gemmatirosa	246	153	2245
Fibrobacter	112	64	1225
CandidatusCloacimonas	94	56	657
Leptotrichia	10620	1531	112694
Sebaldella	294	156	3961
Streptobacillus	211	147	3614
Sneathia	192	106	3276
Fusobacterium	8361	4234	600261
Ilyobacter	199	139	2500
Rubinisphaera	225	131	683
Planctomyces	195	135	2363
Planctopirus	181	101	449
Gimesia	142	91	1753
Bremerella	138	63	1411
Fuerstia	82	62	2062
Crateriforma	65	46	605
Pirellula	175	87	748
Mariniblastus	167	112	425
Rhodopirellula	110	43	466
Roseimaritima	91	40	1101
Bythopirellula	87	55	159
Thermogutta	82	46	856
Gemmata	384	244	3217
Tuwongella	77	68	830
Aquisphaera	140	135	2482
Singulisphaera	131	68	1557
Paludisphaera	78	48	934
Isosphaera	66	42	759
Limihaloglobus	191	78	343
Sedimentisphaera	128	86	879
Anaerohalosphaera	85	63	1343
Phycisphaera	103	61	1660
CandidatusKuenenia	192	115	241
Chlamydia	2608	1145	2861
CandidatusProtochlamydia	203	133	532
Parachlamydia	175	104	253
Neochlamydia	146	89	634
Simkania	148	49	248
Waddlia	114	49	135
Ereboglobus	167	101	3190
Lacunisphaera	143	101	1786
Opitutus	120	91	2805
Nibricoccus	59	43	1323
Coraliomargarita	68	46	819
Verrucomicrobium	201	91	2261
Roseimicrobium	128	90	1050
Akkermansia	210	124	3179
Methylacidiphilum	293	192	1592
CandidatusXiphinematobacter	15	8	16
Kiritimatiella	109	54	1502
Treponema	2205	982	1594465
Spirochaeta	527	340	2644
Oceanispirochaeta	220	105	1042
Sphaerochaeta	210	102	4316
Sediminispirochaeta	82	58	702
Salinispira	49	41	833
Borrelia	1928	1240	2942
Borreliella	1253	792	1785
Brachyspira	1797	1103	5440
Leptospira	1602	1008	6300
Turneriella	45	31	598
Thermotoga	2648	1698	3139
Pseudothermotoga	280	169	768
Thermosipho	634	337	1813
Fervidobacterium	341	194	552
Defluviitoga	286	183	1066
Marinitoga	254	109	543
Petrotoga	161	77	842
Kosmotoga	108	46	794
Mesotoga	55	80	305
Athalassotoga	26	19	638
Terriglobus	276	185	3612
Granulicella	268	183	3224
Acidisarcina	152	86	1159
Acidobacterium	129	68	993
CandidatusKoribacter	90	40	1695
Edaphobacter	49	35	532
CandidatusSolibacter	205	107	1259
Luteitalea	94	82	1812
Chloracidobacterium	53	30	1088
Sulfurihydrogenibium	325	215	713
Persephonella	117	51	183
Hydrogenobaculum	150	101	260
Thermocrinis	78	57	689
Aquifex	76	31	919
Hydrogenobacter	71	62	306
Thermosulfidibacter	76	42	397
Desulfurobacterium	96	73	349
Thermovibrio	89	37	63
CandidatusSaccharimonas	13	0	1258
CandidatusBabela	130	113	358
CandidatusBipolaricaulis	46	32	61
Vampirococcus	5	18	304
Deferribacter	274	155	1055
Calditerrivibrio	194	113	504
Flexistipes	142	88	164
Geovibrio	78	67	1578
Denitrovibrio	38	21	440
Thermodesulfobacterium	376	224	1160
Thermodesulfatator	123	68	390
Caldimicrobium	121	74	238
Nitrospira	191	118	6052
Leptospirillum	137	105	1032
Thermodesulfovibrio	130	85	391
Dictyoglomus	403	182	907
Endomicrobium	142	59	265
Elusimicrobium	109	74	1445
Aminobacterium	83	53	996
Acetomicrobium	75	35	1251
Aminomonas	58	50	3357
Thermovirga	48	40	688
Cloacibacillus	48	52	1635
Thermanaerovibrio	23	20	2624
Jonquetella	19	18	1022
Caldithrix	230	133	1677
Caldisericum	141	61	612
Coprothermobacter	58	37	95
Desulfurispirillum	26	20	1260
Haloferax	1188	0	0
Haloplanus	164	0	0
Haloquadratum	158	0	0
Halogeometricum	107	0	0
Haloprofundus	88	0	0
Halobellus	78	0	0
Halorubrum	217	0	0
Halohasta	90	0	0
Salinigranum	70	0	0
Halopenitus	57	0	0
Halalkaliarchaeum	24	0	0
Salinarchaeum	354	0	0
Natronorubrum	200	0	0
Haloterrigena	196	0	0
Natrinema	187	0	0
Halopiger	159	0	0
Natrialba	147	0	0
Natronolimnobius	146	0	0
Halobiforma	133	0	0
Natronobacterium	120	0	0
Halostagnicola	105	0	0
Natronococcus	89	0	0
Halovivax	84	0	0
Haloarcula	268	0	0
Halorhabdus	216	0	0
Halomicrobium	79	0	0
Halapricum	70	0	0
Natronomonas	52	0	0
Halorientalis	42	0	0
Halobacterium	142	0	0
Halorussus	139	0	0
Halalkalicoccus	114	0	0
Halodesulfurarchaeum	67	0	0
Halostella	36	0	0
Salarchaeum	29	0	0
Halanaeroarchaeum	20	0	0
Methanosarcina	2995	0	0
Methanococcoides	203	0	0
Methanohalophilus	178	0	0
Methanomethylovorans	161	0	0
Methanosalsum	145	0	0
Methanohalobium	125	0	0
Methanothrix	163	0	0
Methanoculleus	143	0	0
Methanoplanus	104	0	0
Methanolacinia	72	0	0
Methanofollis	60	0	0
Methanoregula	109	0	0
Methanolinea	73	0	0
Methanosphaerula	31	0	0
Methanospirillum	111	0	0
Methanocorpusculum	39	0	0
Methanocella	193	0	0
Methanocaldococcus	1250	0	0
Methanotorris	223	0	0
Methanococcus	1083	0	0
Methanothermococcus	107	0	0
Methanofervidicoccus	87	0	0
Methanobrevibacter	1048	0	0
Methanobacterium	785	0	0
Methanosphaera	421	0	0
Methanothermobacter	143	0	0
Methanothermus	92	0	0
Thermococcus	1984	0	0
Pyrococcus	394	0	0
Palaeococcus	66	0	0
Ferroplasma	237	0	0
Thermoplasma	201	0	0
Picrophilus	152	0	0
Cuniculiplasma	98	0	0
Methanomassiliicoccus	70	0	0
CandidatusMethanoplasma	28	0	0
CandidatusMethanomethylophilus	58	0	0
Aciduliprofundum	54	0	0
Archaeoglobus	240	0	0
Geoglobus	77	0	0
Ferroglobus	67	0	0
Methanopyrus	258	0	0
Acidianus	1113	0	0
Sulfolobus	944	0	0
Sulfurisphaera	400	0	0
Metallosphaera	200	0	0
Saccharolobus	170	0	0
Sulfuracidifex	151	0	0
Sulfodiicoccus	51	0	0
Stygiolobus	47	0	0
Pyrobaculum	303	0	0
Vulcanisaeta	209	0	0
Thermoproteus	84	0	0
Caldivirga	37	0	0
Thermofilum	182	0	0
Staphylothermus	162	0	0
Desulfurococcus	132	0	0
Thermogladius	88	0	0
Aeropyrum	72	0	0
Ignicoccus	41	0	0
Thermosphaera	27	0	0
Pyrodictium	80	0	0
Pyrolobus	41	0	0
Hyperthermus	11	0	0
Caldisphaera	217	0	0
Acidilobus	22	0	0
Fervidicoccus	90	0	0
CandidatusNitrosocosmicus	433	0	0
Nitrososphaera	188	0	0
CandidatusNitrosocaldus	290	0	0
Nitrosopumilus	676	0	0
CandidatusNitrosomarinus	133	0	0
CandidatusNitrosotenuis	171	0	0
CandidatusNitrosotalea	125	0	0
CandidatusNitrosopelagicus	107	0	0
CandidatusKorarchaeum	65	0	0
CandidatusMancarchaeum	35	0	0
Gammaretrovirus	37270	18512	20094
Lentivirus	22	13	20
Betaretrovirus	19	4	8
Simiispumavirus	18	3	12
Spumavirus	6	7	7
Caulimovirus	18	9	4
Solendovirus	15	7	9
Cavemovirus	10	1	0
Soymovirus	8	6	12
Badnavirus	1	1	210
Tequatrovirus	174	111	125
Jiaodavirus	29	14	16
Dhakavirus	23	14	13
Gaprivervirus	19	6	4
Moonvirus	18	18	16
Schizotequatrovirus	17	8	157
Gelderlandvirus	16	2	25
Karamvirus	10	3	5
Krischvirus	8	13	16
Mosigvirus	5	0	0
Eneladusvirus	98	51	68
Alcyoneusvirus	91	66	58
Firehammervirus	44	24	26
Mooglevirus	42	21	17
Kolesnikvirus	1	0	0
Metrivirus	36	21	26
Phikzvirus	32	21	15
Asteriusvirus	27	24	21
Tidunavirus	27	15	20
Erskinevirus	25	17	19
Brunovirus	24	0	0
Certrevirus	20	11	415
Avunavirus	3	5	2
Polybotosvirus	22	13	13
Popoffvirus	19	5	5
Nankokuvirus	17	4	4
Plaisancevirus	16	7	20
Bixzunavirus	15	9	31
Svunavirus	14	6	13
Jilinvirus	14	8	2
Chakrabartyvirus	14	11	4
Iapetusvirus	12	6	4
Ionavirus	11	6	60
Risingsunvirus	11	9	8
Aphroditevirus	7	3	6
Elvirus	7	3	6
Ripduovirus	6	4	3
Radnorvirus	2	1	0
Mieseafarmvirus	2	0	0
Peatvirus	1	0	1
Marthavirus	1	0	8
Skunavirus	47	31	20
Fromanvirus	47	31	109
Efquatrovirus	38	13	330
Tlsvirus	14	0	0
Hanrivervirus	8	4	1
Webervirus	1	0	0
Timquatrovirus	34	8	195
Phietavirus	27	34	114
Ilzatvirus	24	6	18
Andromedavirus	23	2	16
Ravinvirus	19	81	9
Samunavirus	15	3	11
Tequintavirus	15	6	10
Bingvirus	15	0	1
Hendrixvirus	14	46	7
Saphexavirus	14	0	0
Samistivirus	14	16	62
Omegavirus	12	6	4
Brujitavirus	11	9	11
Elerivirus	11	9	8
Nickievirus	11	4	9
Saundersvirus	10	4	5
Nonanavirus	10	7	17
Amigovirus	10	3	2
Barnyardvirus	10	4	5
Pegunavirus	9	0	2
Abidjanvirus	9	8	4
Trigintaduovirus	9	6	11
Weaselvirus	9	4	7
Priunavirus	8	6	7
Korravirus	8	4	2
Wilnyevirus	8	9	4
Phicbkvirus	7	10	43
Sanovirus	7	3	6
Kojivirus	6	6	4
Pikminvirus	4	2	4
Steinhofvirus	3	10	1
Mardecavirus	3	0	0
Gamtrevirus	2	0	2
Chivirus	2	0	0
Smoothievirus	1	0	117
Lacusarxvirus	1	0	0
Sourvirus	1	0	2
Myunavirus	1	0	0
Wphvirus	40	41	38
Nitunavirus	32	12	33
Bequatrovirus	25	19	23
Agatevirus	12	8	5
Caeruleovirus	11	8	13
Kayvirus	70	39	45
Sepunavirus	16	0	9
Pecentumvirus	31	14	9
Okubovirus	9	11	16
Kochikohdavirus	8	7	12
Teseptimavirus	31	15	9
Friunavirus	12	2	8
Phimunavirus	4	0	0
Pradovirus	1	0	0
Zindervirus	1	6	3
Salasvirus	20	9	13
Pagevirus	24	7	7
Lederbergvirus	21	52	2
Ithacavirus	19	14	17
Kafunavirus	16	13	7
Jasminevirus	16	7	5
Schmidvirus	15	1	5
Bjornvirus	11	8	7
Gamaleyavirus	8	1	6
Baltimorevirus	4	2	38
Myxoctovirus	1	0	0
Litunavirus	1	1	0
Pandoravirus	1447	798	2055
Pithovirus	1	1	35
Taupapillomavirus	1297	0	0
Alphapapillomavirus	16	11	16
Dyothetapapillomavirus	16	2	9309
Gammapapillomavirus	12	10	67
Deltapapillomavirus	9	9	7
Psipapillomavirus	7	0	0
Betapapillomavirus	6	10	7
Dyoiotapapillomavirus	1	0	0
Nupapillomavirus	1	0	42
Orthobunyavirus	88	39	39
Tenuivirus	32	12	19
Phlebovirus	21	14	10
Phasivirus	11	4	80
Laulavirus	1	0	0
Orthotospovirus	37	18	288
Orthonairovirus	27	15	4
Striwavirus	7	8	14
Orthohantavirus	12	5	4
Reptarenavirus	10	3	5
Emaravirus	7	2	11
Tilapinevirus	2	0	0
Hapavirus	44	15	21
Ephemerovirus	37	35	18
Nucleorhabdovirus	11	11	10
Lyssavirus	8	1	5
Morbillivirus	12	10	1
Henipavirus	5	4	1
Pararubulavirus	14	18	9
Avulavirus	9	7	21
Ebolavirus	8	4	5
Anphevirus	4	4	3
Negevirus	1	0	1
Nepovirus	34	13	16
Waikavirus	14	5	5
Iflavirus	14	9	18
Enterovirus	17	9	14
Cosavirus	8	5	10
Sapelovirus	1	0	0
Betacoronavirus	34	15	29
Alphacoronavirus	8	14	7
Alphamononivirus	12	5	11
Epsilonarterivirus	10	4	2
Kappaarterivirus	1	0	0
Charybnivirus	1	2	0
Okavirus	1	0	0
Torovirus	1	0	0
Potyvirus	66	38	55
Bymovirus	7	5	7
Deltaflexivirus	14	10	5
Potexvirus	12	4	1
Foveavirus	6	4	3
Tymovirus	6	6	14
Flavivirus	35	12	22
Alphavirus	34	15	8
Orbivirus	19	10	11
Rotavirus	5	7	2
Cypovirus	4	9	3
Alphachrysovirus	17	6	3
Chrysovirus	5	1	7
Tobamovirus	11	2	7
Tobravirus	9	5	9
Furovirus	1	0	0
Mamastrovirus	9	0	12
Crinivirus	17	6	4
Trichomonasvirus	1	0	0
Ilarvirus	13	6	2
Mitovirus	10	5	4
Betapartitivirus	6	3	12
Alphapartitivirus	1	0	0
Invictavirus	6	6	10
Avipoxvirus	131	79	141
Orthopoxvirus	60	39	42
Capripoxvirus	45	24	11
Yatapoxvirus	38	13	12
Suipoxvirus	34	26	25
Cervidpoxvirus	24	22	7
Parapoxvirus	17	23	44
Centapoxvirus	2	2	3
Betaentomopoxvirus	129	86	83
Alphaentomopoxvirus	17	10	7
Roseolovirus	69	53	549
Muromegalovirus	63	42	35
Cytomegalovirus	38	28	118
Proboscivirus	8	10	6
Percavirus	88	60	45
Rhadinovirus	48	23	30
Macavirus	31	19	14
Lymphocryptovirus	18	15	10
Varicellovirus	45	33	49
Mardivirus	38	19	20
Scutavirus	26	14	7
Simplexvirus	13	12	242
Cyprinivirus	41	25	594
Batrachovirus	24	15	13
Ictalurivirus	9	0	1
Ostreavirus	5	10	6
Chlorovirus	89	51	54
Prymnesiovirus	88	48	26
Prasinovirus	60	32	36
Raphidovirus	18	10	9
Coccolithovirus	18	14	17
Phaeovirus	16	7	6
Mimivirus	281	186	393
Cafeteriavirus	153	111	174
Alphabaculovirus	298	202	299
Betabaculovirus	204	120	130
Gammabaculovirus	31	17	8
Chloriridovirus	86	54	78
Iridovirus	62	43	63
Lymphocystivirus	50	20	19
Megalocytivirus	19	4	9
Ranavirus	1	0	1
Ichnovirus	139	96	80
Bracovirus	81	26	714
Betanudivirus	93	40	60
Alphanudivirus	36	16	9
Marseillevirus	80	74	67
Asfivirus	111	83	55
Mastadenovirus	62	45	32
Aviadenovirus	29	21	67
Atadenovirus	14	9	8
Rudivirus	40	32	13
Betalipothrixvirus	15	7	5
Begomovirus	51	20	248
Glossinavirus	26	25	8
Muscavirus	13	2	9
Ascovirus	37	19	29
Circovirus	5	5	4
Cyclovirus	2	0	0
Betatorquevirus	10	16	29
Etatorquevirus	3	0	0
Betapolyomavirus	8	4	9
Orthohepadnavirus	12	6	8
Plasmavirus	11	3	3
Betafusellovirus	10	6	5
Alphafusellovirus	1	0	0
Gemykibivirus	9	2	5
Inovirus	7	18	4
Copiparvovirus	4	7	1
Protobacilladnavirus	1	0	0
Nanovirus	1	0	2
Gloeothece	0	295	0
Crocosphaera	0	153	0
CandidatusAtelocyanobacterium	0	134	0
Halothece	0	77	0
Euhalothece	0	50	0
Rippkaea	0	112	0
Geminocystis	0	514	0
Chondrocystis	0	198	0
Gloeocapsa	0	104	0
Microcystis	0	393	0
Cyanobacterium	0	128	0
Trichodesmium	0	292	0
Microcoleus	0	141	0
Arthrospira	0	93	0
Planktothrix	0	86	0
Limnospira	0	53	0
Moorea	0	228	0
Oscillatoria	0	161	0
Crinalium	0	122	0
Cyanothece	0	81	0
Geitlerinema	0	63	0
CandidatusWalczuchella	0	1	98
Fletchervirus	0	14	0
Tegunavirus	0	29	20
Seunavirus	0	1	0
Pakpunavirus	0	1	0
Ficleduovirus	0	1	2
Agricanvirus	0	1	1
Seoulvirus	0	1	0
Chiangmaivirus	0	1	1
Busanvirus	0	1	0
Tunavirus	0	3	3
Nonagvirus	0	11	9
Likavirus	0	1	1
Ceetrepovirus	0	8	0
Sextaecvirus	0	7	6
Phayoncevirus	0	4	0
Detrevirus	0	2	0
Getseptimavirus	0	1	1
Orchidvirus	0	1	0
Galunavirus	0	1	0
Demosthenesvirus	0	1	0
Kagunavirus	0	1	0
Nanhaivirus	0	1	0
Phikmvvirus	0	10	0
Tsarbombavirus	0	12	0
Thottimvirus	0	2	2
Orthophasmavirus	0	6	69
Mammarenavirus	0	1	1
Dichorhavirus	0	1	0
Respirovirus	0	6	0
Jeilongvirus	0	1	31
Carbovirus	0	3	4
Fabavirus	0	1	0
Comovirus	0	1	0
Cheravirus	0	1	0
Hepatovirus	0	3	5
Allexivirus	0	6	2
Coltivirus	0	1	1
Velarivirus	0	1	1
Alphaendornavirus	0	5	4
Siadenovirus	0	1	0
Mupapillomavirus	0	1	0
Toursvirus	0	2	1
Gammatorquevirus	0	2	1
Bicaudavirus	0	1	0
Tetraparvovirus	0	1	0
Bocaparvovirus	0	1	0
Alphapolyomavirus	0	1	1
Whispovirus	0	2	4
Ampullavirus	0	1	0
CandidatusTremblaya	0	0	3
Sulfobacillus	0	0	43
Lambdapapillomavirus	0	0	8
Dyomupapillomavirus	0	0	1
Phipapillomavirus	0	0	1
Hapunavirus	0	0	212
Peduovirus	0	0	131
Bcepmuvirus	0	0	1
Biquartavirus	0	0	1
Pbunavirus	0	0	1
Vhmlvirus	0	0	1
Noxifervirus	0	0	1
Yuavirus	0	0	301
Vividuovirus	0	0	153
Delepquintavirus	0	0	19
Doucettevirus	0	0	9
Slashvirus	0	0	8
Cheoctovirus	0	0	5
Betterkatzvirus	0	0	4
Pahexavirus	0	0	2
Bronvirus	0	0	2
Bongovirus	0	0	2
Titanvirus	0	0	2
Dhillonvirus	0	0	1
Brussowvirus	0	0	1
Cbastvirus	0	0	1
Nyceiraevirus	0	0	1
Sugarlandvirus	0	0	1
Jerseyvirus	0	0	1
Laroyevirus	0	0	1
Cimpunavirus	0	0	1
Gustavvirus	0	0	1
Bruynoghevirus	0	0	59
Lightbulbvirus	0	0	11
Johnsonvirus	0	0	8
Twortvirus	0	0	2
Siminovitchvirus	0	0	1
Agtrevirus	0	0	6
Sigmavirus	0	0	84
Tibrovirus	0	0	17
Curiovirus	0	0	2
Orthoavulavirus	0	0	1
Orthopneumovirus	0	0	2
Yuyuevirus	0	0	1
Ophiovirus	0	0	1
Rosavirus	0	0	2
Mischivirus	0	0	1
Torradovirus	0	0	1
Gammaarterivirus	0	0	21
Iotaarterivirus	0	0	1
Tiruvirus	0	0	6
Alphamesonivirus	0	0	1
Marafivirus	0	0	1
Carlavirus	0	0	1
Vitivirus	0	0	1
Seadornavirus	0	0	1
Mycoreovirus	0	0	1
Fijivirus	0	0	1
Betachrysovirus	0	0	1
Ampelovirus	0	0	1
Quadrivirus	0	0	2
Luteovirus	0	0	1
Molluscipoxvirus	0	0	1
Crocodylidpoxvirus	0	0	1
