Genus	Basepaws_MissYvonne	Basepaws_WGS1	Basepaws_WGS2
Cryobacterium	168	104	6548
Plantibacter	157	99	2402
Clavibacter	152	144	6596
Rhodoluna	109	63	2380
CandidatusAquiluna	15	7	225
Agrococcus	118	76	6002
Microterricola	110	40	3559
Aurantimicrobium	104	76	1552
Leucobacter	89	36	4636
Humibacter	88	59	4613
Frondihabitans	76	68	2323
Diaminobutyricimonas	75	45	2361
Protaetiibacter	69	53	1696
Lysinimonas	48	30	1379
Marisediminicola	44	26	939
Gryllotalpicola	35	38	2175
Cnuibacter	30	26	4936
Mycetocola	25	27	966
Pontimonas	14	10	991
Microcella	12	17	2006
Arthrobacter	1353	810	35476
Pseudarthrobacter	661	385	11716
Kocuria	407	208	23490
Rothia	329	171	4414
Glutamicibacter	265	150	10800
Micrococcus	205	278	8369
Sinomonas	75	34	1919
Nesterenkonia	68	44	894
Paenarthrobacter	66	29	337
Psychromicrobium	49	22	1079
Zhihengliuella	44	18	3164
Renibacterium	23	24	1521
Neomicrococcus	22	11	1244
Auritidibacter	18	12	660
Serinicoccus	431	254	8539
Ornithinimicrobium	314	174	14497
Janibacter	152	114	5630
Intrasporangium	101	36	2684
Tetrasphaera	95	71	1879
Phycicoccus	59	33	1911
Arsenicicoccus	30	13	3769
Brachybacterium	617	404	16746
Dermabacter	418	163	12820
Devriesea	38	28	1202
Cellulomonas	584	378	23225
Oerskovia	141	71	2620
Pseudactinotalea	84	44	2446
Paraoerskovia	40	29	1807
Brevibacterium	535	255	16090
Isoptericola	158	104	5682
Cellulosimicrobium	136	89	6291
Xylanimonas	101	55	5856
Xylanimicrobium	57	39	2596
Georgenia	316	164	13090
Jonesia	265	104	1609
Kytococcus	101	25	3586
Luteipulveratus	80	49	2820
Dermacoccus	31	12	2166
Ruania	96	38	3576
Haloactinobacterium	62	43	5188
Austwickia	92	43	2737
Dermatophilus	26	14	1893
Luteimicrobium	54	38	2060
Tropheryma	36	9	161
Miniimonas	53	31	6509
Beutenbergia	36	40	1654
Sanguibacter	46	23	3447
Actinomyces	10171	943	199110
Schaalia	225	126	46973
Trueperella	151	66	10161
Flaviflexus	100	58	5093
Arcanobacterium	76	41	4944
Mobiluncus	36	26	2192
Actinobaculum	16	7	1465
Actinotignum	7	3	1654
Cutibacterium	894	1505	11706
Pseudopropionibacterium	596	361	43148
Microlunatus	442	236	11412
Tessaracoccus	379	102	55524
Propionibacterium	302	108	29095
Acidipropionibacterium	301	171	16973
