Genus	Basepaws_MissYvonne	Basepaws_WGS1	Basepaws_WGS2
Bacillus	3.16465471067156	0.0580560644909945	0.18824968032354
Paenibacillus	1.3692838342138	0.121242860236682	0.545426934697976
Staphylococcus	1.08307163848541	6.22695879869646	0.0912193433351803
Lactobacillus	1.14375344347337	0.0169533984597777	0.0893810365977485
Streptococcus	1.01176504092736	0.0136111358754736	0.406749670192968
Clostridium	4.52210887893104	0.0598914681126782	0.197514127619275
Streptomyces	2.88534315341653	0.131459858055368	0.771987192569988
Corynebacterium	0.472858036341172	0.00559266998585702	0.691154724201956
Actinomyces	1.11406974464352	0.0023294557405756	0.439934200108217
Nostoc	0.514042799293287	0.00715387468155562	0
Salmonella	1.98836968582379	0.227728383682061	0.327501415683996
Klebsiella	0.303409024939784	0.959827164759144	0.0788372868969981
Pseudomonas	2.61676592267561	0.0622110428108759	5.14903088644764
Acinetobacter	0.902778766625884	0.017395575106186	0.0781346648507201
Shewanella	0.57724388499374	0.00807281162269467	0.076764772810807
Pseudoalteromonas	0.58764960967579	0.0082185569977678	0.0413221305329912
Vibrio	1.03586250861211	0.014811682524381	0.133966603490339
Pasteurella	0.463766718987381	0.00150932922321495	7.28368062416524
Bibersteinia	0.0684587150134891	0.00525671454501048	0.738736377556033
Xanthomonas	0.235717047534446	0.396027237982608	1.01063564294259
Stenotrophomonas	0.207457289976877	0.00275681082341715	0.836884723209226
Lysobacter	0.106028857812892	0.0010943254433457	0.583284564071961
Aeromonas	0.221368100867618	0.941122351537894	0.128226313942445
Cardiobacterium	0.0150061503309568	5.68159936725757e-05	0.596413432622225
Burkholderia	0.585677998683402	89.4652846744366	0.481656250736731
Variovorax	0.195956225854611	0.00222323453501383	0.778595816910924
Acidovorax	0.147980358373158	0.00160813964699334	1.54658380852568
Hydrogenophaga	0.120706406311784	0.00118819534593517	0.601349462972492
Comamonas	0.099456821171597	0.00113631987345151	1.08727226456257
Ottowia	0.0662680361330575	0.000276669186579499	0.816137487314413
Neisseria	1.18548587614559	0.00211207280826314	4.85499460759674
Eikenella	0.0476472656493884	0.000143275114478669	0.575549093053032
Campylobacter	0.731686746064172	0.0119165371076741	0.19188431323589
Arcobacter	0.572314857512769	0.00807281162269467	0.0340749597411929
Helicobacter	0.520614835934582	0.0100589011406404	0.0279590546339681
Desulfomicrobium	0.0473186638173237	0.000207501889934624	4.71760106450333
Porphyromonas	6.72056466938822	0.000886823553411073	4.47539531383354
Tannerella	1.30246812836064	0.000479230555325204	8.41396749878107
Bacteroides	0.739463656089704	0.00543210304721713	0.681868181873319
Prevotella	0.288512408552848	0.00216147802015234	0.514054197480676
Capnocytophaga	1.77751684358224	0.00369056932812296	22.3741285194266
Chryseobacterium	1.18877189446624	0.0158788351011877	0.772117553264109
Flavobacterium	0.905407581282402	0.0116596300058503	0.157305586744536
Leptotrichia	1.16325048550921	0.00378196897011797	0.248997763783815
Fusobacterium	0.915813305964452	0.0104590833569428	1.32627865446818
Treponema	0.24152234656759	0.00242579590375954	3.52297566358068
Gammaretrovirus	4.08233009368438	0.0457294641246401	0.0443977591129251
